"page_name","country","post_date","total_interactions","Message","URL"
"GMA News","PH",2020-07-27,44790,"Watch the livestream of the fifth State of the Nation Address (SONA 2020) of President Rodrigo Duterte on July 27, 2020. YouTube: https://bit.ly/32WpUg9:=:https://www.youtube.com/watch?v=x0WglYr6Bpk Facebook: https://bit.ly/3fba0Bj:=:https://www.facebook.com/gmanews/videos/president-duterte-2020-state-of-the-nation-address-sona-2020-july-27-2020/603900613597893/ GMA News Online: https://bit.ly/33avTOP:=:https://www.gmanetwork.com/news/video/liveevents/537053/replay-president-duterte-2020-state-of-the-nation-address-sona-2020-july-27-2020/video/ Here are the highlights of President Duterte's #SONA2020: -President Duterte: Media is a powerful tool in the hands of oligarchs like the Lopezes. I am a casualty of the Lopezes during the 2016 elections. -President Duterte, inatasan ang DSWD at DILG na imbestigahan ang reklamo ng PUV drivers na hindi nakatanggap ng ayuda. -President Duterte says the COVID-19 vaccine is ""around the corner."" -President Duterte: We will not dodge our obligation to fight for human rights. -President Duterte: We must fast track the economic recovery of the country. -President Duterte thanks solons on passing Bayanihan to Heal as One Act; urges them to pass Bayanihan to Recover as One Act -President Duterte: We need to protect our consumers, now more than ever. -President Duterte: Habulin ang mga online scammer at mga nambibiktima sa internet. -President Duterte: We have accomplished significant infrastructure projects. -President Duterte, tiniyak ang mabilis na resulta sa COVID-19 tests. -President Duterte, umaapela sa China na kasama ang Pilipinas sa mga unang makakuha ng COVID-19 vaccine. -President Duterte: Hindi papayagan ang face-to-face classes hangga't walang kasiguraduhan na protektado ang mga estudyante. -President Duterte: We plan to increase schools with ICT facilities in the coming months. -President Duterte to telcos: Improve your services before December. -President Duterte: Martial law in Mindanao ended ""without abuses."" -President Rodrigo Duterte on his #SONA2020 asked government agencies to digitize their transactions amid the COVID-19 pandemic. -President Duterte, nanawagan sa Kongreso na pagtibayin ang death penalty by lethal injection para sa drug-related cases. -President Duterte, binigyang-diin ang agarang pagbuo ng Department of Disaster Resilience. -President Duterte, nanawagan na ipasa ang mga panukala na may kaugnayan sa ""Plant Plant Plant"" Program. -President Duterte: Philippines is not a pawn to anyone in the issue of the West Philippine Sea. -President Duterte: We must utilize the coconut levy for the welfare of our coconut farmers and the development of our coconut industry. Para sa mga Kapuso abroad, mapapanood nang live ang #SONA2020 sa GMA Pinoy TV at GMA News TV International. Patuloy na manood ng paborito ninyong GMA news and entertainment programs sa GMA Pinoy TV, GMA Life TV, at GMA News TV International. To get the channels, visit gmapinoytv.com/subscribe:=:https://www.gmanetwork.com/international/subscribe.","https://www.facebook.com/116724526976/posts/603900613597893"
"GMA News","PH",2022-05-30,38682,"Ilang insidente ng pagbuntot at pagdikit ng mga barko ng Tsina sa mga sasakyang pandagat ng Pilipinas ang na-monitor daw ng Asia Maritime Transparency Initiative sa karagatang sakop ng ating exclusive economic zone. Ang ganyang stratehiya, sinasadya umano ng China. | May 30, 2022","https://www.facebook.com/116724526976/posts/10160998774366977"
"NDTV","IN",2020-12-13,26130,"Hours before he launched his two-year-old party's campaign for the 2021 Tamil Nadu Assembly polls, Tamil film star-turned-politician Kamal Haasan attacked Prime Minister Narendra Modi over the new parliament project for which he had laid the foundation stone recently. The veteran actor and founder of Makkal Needhi Maiam (MNM) on Sunday asked what was the point of such a massive financial indulgence at a time when the country's economy was facing severe turbulence. . ""Why a 1,000-crore new Parliament when half of India is hungry, losing livelihood due to coronavirus. When thousands died as the Great Wall of China was being built, the rulers said it was to protect people. To protect whom are you building the Rs1,000-crore Parliament? Please answer my honourable elected PM,"" Mr Haasan tweeted on Saturday. . . . #kamalhaasan #primeminister #narendramodi #newparliament #centralvista #covid_19 #hungry #india","https://www.facebook.com/102527030797/posts/10159387853015798"
"GMA News","PH",2021-04-04,23109,"Ayon sa China, bahagi ng kanilang historical claim ang Julian Felipe Reef alinsunod sa mapa nilang nine dash line, kahit pa ang naturang lugar ay pasok sa exclusive economic zone ng Pilipinas sa ilalim ng United Nations Convention on the Law of the Sea.","https://www.facebook.com/116724526976/posts/10159919103926977"
"GMA News","PH",2023-05-19,21440,"Pumalag ang Vietnam sa ginawang paglalagay ng mga boya ng Philippine Coast Guard sa mga bahagi ng South China Sea na pasok sa ating exclusive economic zone. Mag-subscribe sa GMA News Youtube (youtube.com/gmanews:=:https://www.youtube.com/channel/UCqYw-CTd1dU2yGI71sEyqNw) para sa pinakamalalaking balita.","https://www.facebook.com/116724526976/posts/10161831389461977"
"CNN","US",2021-02-18,20604,"President Joe Biden made at least four false claims — all of them involving statistics — about the minimum wage, undocumented immigrants, China's economy and Covid-19 vaccinations","https://www.facebook.com/5550296508/posts/10161762402076509"
"Infobae","AR",2020-03-14,20061,"Sacrifica a los más vulnerables y privilegia la economía","https://www.facebook.com/34839376970/posts/10157868667636971"
"BBC News","GB",2020-12-27,17759,"An influential think-tank said the pandemic had caused economic momentum to shift in favour of Asia.","https://www.facebook.com/228735667216/posts/10158407563807217"
"GMA News","PH",2022-09-22,17578,"President Ferdinand Marcos Jr. and US President Joe Biden have met in New York. READ: https://www.gmanetwork.com/news/topstories/nation/845757/marcos-meets-us-president-biden/story/ Marcos is in the middle of a working trip in the US where he attended the United Nations General Assembly. According to a senior US administration official, Biden was eager to talk to Marcos ""about a range of issues, including obviously the state of the global economy and how it’s impacting the Philippines and how the Indo-Pacific Economic Framework can help us collectively improve the rules of the road in the Indo-Pacific."" ""They’ll talk about the South China Sea. They’ll talk about the security relationship between the U.S. and the Philippines and the full breadth of issues in the alliance,"" the official said in a background press briefing, a transcript of which was posted on the White House website. 📷 bongbongmarcos/IG","https://www.facebook.com/116724526976/posts/10161216147161977"
"GMA News","PH",2022-05-26,16161,"Ekonomiya ang isa sa mga magiging prayoridad ng administrasyon ni President-elect Ferdinand ""Bongbong"" Marcos, Jr. Kabilang sa mga haharapin ng ilan sa pinangalanan niyang miyembro ng kanyang economic team--ang lumobong utang ng Pilipinas, usapin ng dagdag buwis, at P20 kada kilong bigas. Pagdating naman sa West Philippine Sea, patuloy daw siyang makikipag-usap sa China pero matibay daw ang paninindigan ng Pilipinas na walang kompromiso sa ating soberanya. Pangako rin ni Marcos, lalabanan niya ang korapsyon. Ibahin daw ang kanyang pamumuno sa nakaraan. | May 26, 2022","https://www.facebook.com/116724526976/posts/375226174572310"
